osmid,y,x,street_count,junction,highway,ref,geometry
245646586,18.5110322,73.8335978,3,,,,POINT (73.8335978 18.5110322)
245646593,18.5043937,73.8590363,4,,,,POINT (73.8590363 18.5043937)
245646603,18.5128714,73.8288338,3,,,,POINT (73.8288338 18.5128714)
245646625,18.5080651,73.8500488,3,,,,POINT (73.8500488 18.5080651)
245646630,18.5095523,73.8436096,4,,traffic_signals,,POINT (73.8436096 18.5095523)
245646633,18.511035,73.8382277,3,,,,POINT (73.8382277 18.511035)
245646637,18.5070452,73.8786011,4,,,,POINT (73.8786011 18.5070452)
245646640,18.5115953,73.8373048,4,,traffic_signals,,POINT (73.8373048 18.5115953)
245646642,18.5125965,73.8892136,3,,,,POINT (73.8892136 18.5125965)
245646664,18.5112473,73.8432571,4,,traffic_signals,,POINT (73.8432571 18.5112473)
245646669,18.5106379,73.8459983,4,,traffic_signals,,POINT (73.8459983 18.5106379)
245646675,18.5127725,73.8335529,3,,,,POINT (73.8335529 18.5127725)
245646687,18.5114645,73.8450707,4,,,,POINT (73.8450707 18.5114645)
245646699,18.5142631,73.8338015,4,,,,POINT (73.8338015 18.5142631)
245646702,18.5085515,73.8537032,4,,,,POINT (73.8537032 18.5085515)
245646706,18.5153885,73.8289046,4,,traffic_signals,,POINT (73.8289046 18.5153885)
245646707,18.5147794,73.8313974,3,,crossing,,POINT (73.8313974 18.5147794)
245646714,18.5128013,73.8438536,4,,,,POINT (73.8438536 18.5128013)
245646721,18.5138185,73.8447087,4,,,,POINT (73.8447087 18.5138185)
245646726,18.5137712,73.8415826,3,,traffic_signals,,POINT (73.8415826 18.5137712)
245646747,18.5142923,73.8835382,3,,,,POINT (73.8835382 18.5142923)
245646753,18.5139741,73.8810075,4,,,,POINT (73.8810075 18.5139741)
245646758,18.5112422,73.8537891,4,,,,POINT (73.8537891 18.5112422)
245646763,18.5147426,73.8455485,4,,,,POINT (73.8455485 18.5147426)
245646793,18.5107087,73.8683312,3,,,,POINT (73.8683312 18.5107087)
245646799,18.5126408,73.8576283,3,,,,POINT (73.8576283 18.5126408)
245646815,18.5160393,73.8392602,3,,,,POINT (73.8392602 18.5160393)
245646818,18.5144753,73.8523177,4,yes,traffic_signals,,POINT (73.8523177 18.5144753)
